city,latitude,longitude,region,languages,timezone,date,high_c,low_c,feels_like_c,rain_probability,weather_condition,day_length,season,climate_risk,travel_recommendation
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,2026-05-20,21.0,12.4,21.9,100,Moderate rain,12h 21m,Spring,Heavy rain risk,Not recommended — high chance of rain
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,2026-05-21,18.0,11.8,18.2,99,Moderate rain,12h 21m,Spring,Heavy rain risk,Not recommended — high chance of rain
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,2026-05-22,19.2,10.3,19.7,100,Light rain,12h 21m,Spring,Heavy rain risk,Not recommended — high chance of rain
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,2026-05-23,19.2,12.1,19.8,100,Moderate rain,12h 21m,Spring,Heavy rain risk,Not recommended — high chance of rain
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,2026-05-24,19.9,12.1,19.8,100,Moderate drizzle,12h 22m,Spring,Heavy rain risk,Not recommended — high chance of rain
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,2026-05-25,19.6,11.8,19.8,100,Light drizzle,12h 22m,Spring,Heavy rain risk,Not recommended — high chance of rain
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,2026-05-26,16.2,11.6,16.7,100,Light rain,12h 22m,Spring,Heavy rain risk,Not recommended — high chance of rain
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,2026-05-20,35.4,21.0,38.8,44,Light drizzle,14h 27m,Spring,No risk,Carry an umbrella
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,2026-05-21,22.5,15.0,25.8,67,Light rain,14h 28m,Spring,No risk,Carry an umbrella
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,2026-05-22,15.0,11.0,14.7,74,Light showers,14h 30m,Spring,No risk,Not recommended — high chance of rain
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,2026-05-23,13.7,11.1,13.2,73,Moderate drizzle,14h 31m,Spring,No risk,Not recommended — high chance of rain
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,2026-05-24,19.2,12.8,19.5,56,Light drizzle,14h 33m,Spring,No risk,Carry an umbrella
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,2026-05-25,18.6,14.9,20.5,38,Light drizzle,14h 35m,Spring,No risk,Recommended
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,2026-05-26,25.7,17.0,26.7,38,Light drizzle,14h 35m,Spring,No risk,Highly recommended
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,2026-05-21,25.0,15.2,26.2,89,Light rain,12h 3m,Autumn,Heavy rain risk,Not recommended — high chance of rain
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,2026-05-22,25.2,15.5,27.5,71,Moderate drizzle,12h 3m,Autumn,No risk,Not recommended — high chance of rain
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,2026-05-23,23.6,15.3,25.0,31,Light drizzle,12h 4m,Autumn,No risk,Highly recommended
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,2026-05-24,24.1,15.6,25.3,26,Light drizzle,12h 4m,Autumn,No risk,Highly recommended
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,2026-05-25,23.6,16.4,24.6,33,Light drizzle,12h 3m,Autumn,No risk,Highly recommended
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,2026-05-26,24.1,15.9,23.9,35,Light drizzle,12h 3m,Autumn,No risk,Highly recommended
Nairobi,-1.2921,36.8219,Africa,"English, Swahili",Africa/Nairobi,2026-05-27,23.6,15.9,23.2,65,Moderate drizzle,12h 3m,Autumn,No risk,Carry an umbrella
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,2026-05-21,42.8,28.1,40.8,0,Overcast,13h 26m,Spring,Extreme heat warning,Not recommended — extreme heat
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,2026-05-22,38.9,28.6,37.4,0,Overcast,13h 27m,Spring,Extreme heat warning,Not recommended — extreme heat
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,2026-05-23,39.2,26.0,37.7,0,Clear sky,13h 27m,Spring,Extreme heat warning,Not recommended — extreme heat
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,2026-05-24,42.2,27.8,40.9,0,Clear sky,13h 29m,Spring,Extreme heat warning,Not recommended — extreme heat
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,2026-05-25,43.6,30.7,41.5,0,Clear sky,13h 29m,Spring,Extreme heat warning,Not recommended — extreme heat
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,2026-05-26,43.5,30.9,41.3,0,Clear sky,13h 30m,Spring,Extreme heat warning,Not recommended — extreme heat
Riyadh,24.6877,46.7219,Asia,Arabic,Asia/Riyadh,2026-05-27,43.2,32.2,40.7,0,Clear sky,13h 30m,Spring,Extreme heat warning,Not recommended — extreme heat
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,2026-05-21,43.5,32.3,43.3,0,Clear sky,13h 41m,Spring,Extreme heat warning,Not recommended — extreme heat
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,2026-05-22,43.0,31.1,42.3,0,Mainly clear,13h 41m,Spring,Extreme heat warning,Not recommended — extreme heat
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,2026-05-23,41.3,30.3,41.1,6,Light drizzle,13h 43m,Spring,Extreme heat warning,Not recommended — extreme heat
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,2026-05-24,42.8,29.5,42.0,2,Clear sky,13h 43m,Spring,Extreme heat warning,Not recommended — extreme heat
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,2026-05-25,42.2,32.8,43.7,22,Overcast,13h 45m,Spring,Extreme heat warning,Not recommended — extreme heat
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,2026-05-26,42.7,30.5,41.5,2,Clear sky,13h 46m,Spring,Extreme heat warning,Not recommended — extreme heat
New Delhi,28.6139,77.209,Asia,"English, Hindi, Tamil",Asia/Kolkata,2026-05-27,42.5,29.3,41.2,0,Clear sky,13h 46m,Spring,Extreme heat warning,Not recommended — extreme heat
London,51.5074,-0.1278,Europe,English,Europe/London,2026-05-20,19.6,12.8,16.4,60,Light drizzle,15h 51m,Spring,No risk,Carry an umbrella
London,51.5074,-0.1278,Europe,English,Europe/London,2026-05-21,23.6,12.9,22.4,2,Overcast,15h 54m,Spring,No risk,Highly recommended
London,51.5074,-0.1278,Europe,English,Europe/London,2026-05-22,27.3,16.9,26.4,0,Overcast,15h 57m,Spring,No risk,Highly recommended
London,51.5074,-0.1278,Europe,English,Europe/London,2026-05-23,25.8,19.5,26.5,12,Light drizzle,15h 59m,Spring,No risk,Highly recommended
London,51.5074,-0.1278,Europe,English,Europe/London,2026-05-24,31.5,17.9,30.4,6,Clear sky,16h 2m,Spring,No risk,Highly recommended
London,51.5074,-0.1278,Europe,English,Europe/London,2026-05-25,32.2,23.1,31.5,2,Mainly clear,16h 4m,Spring,No risk,Recommended
London,51.5074,-0.1278,Europe,English,Europe/London,2026-05-26,23.1,16.1,21.7,4,Mainly clear,16h 6m,Spring,No risk,Highly recommended
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,2026-05-21,28.2,13.3,28.0,8,Foggy,14h 44m,Spring,No risk,Highly recommended
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,2026-05-22,29.3,15.7,27.7,0,Mainly clear,14h 46m,Spring,No risk,Highly recommended
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,2026-05-23,29.6,14.6,29.6,0,Partly cloudy,14h 48m,Spring,No risk,Highly recommended
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,2026-05-24,30.2,16.0,31.6,0,Overcast,14h 49m,Spring,No risk,Highly recommended
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,2026-05-25,31.2,16.9,33.2,2,Partly cloudy,14h 51m,Spring,No risk,Highly recommended
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,2026-05-26,34.2,15.2,34.7,0,Partly cloudy,14h 53m,Spring,No risk,Recommended
Rome,41.9028,12.4964,Europe,"Italian, Catalan",Europe/Rome,2026-05-27,33.1,16.2,34.1,3,Overcast,14h 54m,Spring,No risk,Recommended
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,2026-05-21,20.7,15.2,24.0,98,Moderate rain,14h 11m,Spring,Heavy rain risk,Not recommended — high chance of rain
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,2026-05-22,15.3,12.4,15.9,98,Moderate drizzle,14h 13m,Spring,Heavy rain risk,Not recommended — high chance of rain
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,2026-05-23,20.3,10.9,20.5,0,Partly cloudy,14h 14m,Spring,No risk,Highly recommended
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,2026-05-24,22.6,13.4,23.6,49,Light drizzle,14h 16m,Spring,No risk,Carry an umbrella
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,2026-05-25,29.4,16.8,30.4,9,Overcast,14h 16m,Spring,No risk,Highly recommended
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,2026-05-26,28.5,18.4,29.5,33,Overcast,14h 18m,Spring,No risk,Highly recommended
Tokyo,35.6762,139.6503,Asia,Japanese,Asia/Tokyo,2026-05-27,22.8,19.0,23.9,69,Moderate drizzle,14h 19m,Spring,No risk,Carry an umbrella
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,2026-05-21,14.2,4.2,12.4,0,Mainly clear,10h 9m,Autumn,No risk,Recommended
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,2026-05-22,15.4,3.7,12.8,0,Partly cloudy,10h 7m,Autumn,No risk,Recommended
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,2026-05-23,15.6,6.8,13.4,0,Light drizzle,10h 5m,Autumn,No risk,Recommended
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,2026-05-24,16.5,7.7,16.2,12,Light drizzle,10h 5m,Autumn,No risk,Recommended
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,2026-05-25,16.8,7.5,15.9,27,Overcast,10h 3m,Autumn,No risk,Recommended
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,2026-05-26,11.8,8.1,11.2,47,Light rain,10h 2m,Autumn,No risk,Carry an umbrella
Canberra,-35.2809,149.13,Oceania,English,Australia/Sydney,2026-05-27,7.6,5.7,5.4,27,Light rain,10h 1m,Autumn,No risk,Recommended
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,2026-05-21,33.7,25.5,39.1,64,Moderate drizzle,11h 49m,Autumn,No risk,Carry an umbrella
Jakarta,-6.2088,106.8456,Asia,Indonesian,Asia/Jakarta,2026-05-22,34.9,25.0,40.8,95,Light showers,11h 49m,Autumn,Heavy rain risk,Not recommended — high chance of rain
